Date,Adj Close,Symbol
2020-09-01,81.88,CVX
2020-09-02,81.98,CVX
2020-09-03,81.09,CVX
2020-09-04,80.74,CVX
2020-09-08,77.82,CVX
2020-09-09,78.87,CVX
2020-09-10,77.02,CVX
2020-09-11,76.56,CVX
2020-09-14,76.17,CVX
2020-09-15,75.24,CVX
2020-09-16,77.42,CVX
2020-09-17,77.65,CVX
2020-09-18,77.08,CVX
2020-09-21,75.19,CVX
2020-09-22,74.43,CVX
2020-09-23,70.91,CVX
2020-09-24,70.76,CVX
2020-09-25,70.79,CVX
2020-09-28,72.86,CVX
2020-09-29,70.86,CVX
2020-09-30,70.96,CVX
2020-10-01,69.4,CVX
2020-10-02,70.16,CVX
2020-10-05,71.65,CVX
2020-10-06,71.25,CVX
2020-10-07,72.71,CVX
2020-10-08,74.13,CVX
2020-10-09,72.93,CVX
2020-10-12,73.43,CVX
2020-10-13,72.34,CVX
2020-10-14,71.89,CVX
2020-10-15,72.44,CVX
2020-10-16,71.83,CVX
2020-10-19,70.25,CVX
2020-10-20,70.64,CVX
2020-10-21,69.84,CVX
2020-10-22,72.34,CVX
2020-10-23,71.52,CVX
2020-10-26,69.91,CVX
2020-10-27,68.5,CVX
2020-10-28,65.91,CVX
2020-10-29,67.8,CVX
2020-10-30,68.49,CVX
2020-11-02,71.1,CVX
2020-11-03,70.7,CVX
2020-11-04,70.73,CVX
2020-11-05,71.09,CVX
2020-11-06,70.12,CVX
2020-11-09,78.25,CVX
2020-11-10,81.87,CVX
2020-11-11,81.26,CVX
2020-11-12,79.5,CVX
2020-11-13,81.83,CVX
2020-11-16,87.67,CVX
2020-11-17,87.04,CVX
2020-11-18,84.28,CVX
2020-11-19,85.73,CVX
2020-11-20,85.79,CVX
2020-11-23,91.03,CVX
2020-11-24,95.62,CVX
2020-11-25,92.14,CVX
2020-11-27,91.31,CVX
2020-11-30,87.18,CVX
