Date,Adj Close,Symbol
2020-09-01,83.82,MRK
2020-09-02,86.3,MRK
2020-09-03,84.87,MRK
2020-09-04,84.62,MRK
2020-09-08,82.73,MRK
2020-09-09,84.27,MRK
2020-09-10,82.97,MRK
2020-09-11,83.87,MRK
2020-09-14,84.16,MRK
2020-09-15,84.21,MRK
2020-09-16,85.57,MRK
2020-09-17,85.64,MRK
2020-09-18,85.81,MRK
2020-09-21,83.13,MRK
2020-09-22,82.94,MRK
2020-09-23,82.63,MRK
2020-09-24,83.15,MRK
2020-09-25,82.93,MRK
2020-09-28,82.76,MRK
2020-09-29,81.9,MRK
2020-09-30,82.95,MRK
2020-10-01,81.64,MRK
2020-10-02,80.8,MRK
2020-10-05,81.24,MRK
2020-10-06,79.63,MRK
2020-10-07,80.04,MRK
2020-10-08,80.48,MRK
2020-10-09,80.36,MRK
2020-10-12,80.36,MRK
2020-10-13,80.71,MRK
2020-10-14,80.51,MRK
2020-10-15,79.06,MRK
2020-10-16,79.83,MRK
2020-10-19,78.67,MRK
2020-10-20,78.27,MRK
2020-10-21,78.07,MRK
2020-10-22,79.21,MRK
2020-10-23,79.83,MRK
2020-10-26,78.84,MRK
2020-10-27,77.99,MRK
2020-10-28,76.18,MRK
2020-10-29,75.89,MRK
2020-10-30,75.21,MRK
2020-11-02,76.71,MRK
2020-11-03,76.92,MRK
2020-11-04,80.62,MRK
2020-11-05,80.46,MRK
2020-11-06,80.36,MRK
2020-11-09,80.5,MRK
2020-11-10,81.11,MRK
2020-11-11,81.06,MRK
2020-11-12,79.86,MRK
2020-11-13,81.09,MRK
2020-11-16,80.18,MRK
2020-11-17,81.5,MRK
2020-11-18,80.25,MRK
2020-11-19,80.39,MRK
2020-11-20,80.45,MRK
2020-11-23,80.28,MRK
2020-11-24,80.14,MRK
2020-11-25,80.06,MRK
2020-11-27,79.86,MRK
2020-11-30,80.39,MRK
