Date,Adj Close,Symbol
2020-09-01,46.68,DOW
2020-09-02,48.61,DOW
2020-09-03,47.79,DOW
2020-09-04,48.0,DOW
2020-09-08,47.34,DOW
2020-09-09,48.62,DOW
2020-09-10,48.1,DOW
2020-09-11,49.23,DOW
2020-09-14,49.47,DOW
2020-09-15,50.44,DOW
2020-09-16,49.08,DOW
2020-09-17,50.34,DOW
2020-09-18,49.75,DOW
2020-09-21,47.32,DOW
2020-09-22,47.21,DOW
2020-09-23,46.16,DOW
2020-09-24,45.83,DOW
2020-09-25,45.47,DOW
2020-09-28,46.89,DOW
2020-09-29,45.99,DOW
2020-09-30,46.47,DOW
2020-10-01,45.54,DOW
2020-10-02,46.72,DOW
2020-10-05,47.98,DOW
2020-10-06,47.29,DOW
2020-10-07,47.7,DOW
2020-10-08,48.77,DOW
2020-10-09,48.75,DOW
2020-10-12,47.98,DOW
2020-10-13,47.29,DOW
2020-10-14,48.22,DOW
2020-10-15,48.4,DOW
2020-10-16,48.69,DOW
2020-10-19,48.23,DOW
2020-10-20,48.73,DOW
2020-10-21,47.95,DOW
2020-10-22,48.21,DOW
2020-10-23,47.93,DOW
2020-10-26,46.57,DOW
2020-10-27,45.99,DOW
2020-10-28,44.62,DOW
2020-10-29,45.68,DOW
2020-10-30,44.93,DOW
2020-11-02,47.23,DOW
2020-11-03,48.13,DOW
2020-11-04,45.87,DOW
2020-11-05,48.36,DOW
2020-11-06,47.63,DOW
2020-11-09,51.47,DOW
2020-11-10,52.8,DOW
2020-11-11,51.56,DOW
2020-11-12,50.41,DOW
2020-11-13,51.33,DOW
2020-11-16,53.26,DOW
2020-11-17,53.8,DOW
2020-11-18,54.61,DOW
2020-11-19,54.65,DOW
2020-11-20,54.05,DOW
2020-11-23,55.25,DOW
2020-11-24,57.01,DOW
2020-11-25,55.73,DOW
2020-11-27,55.4,DOW
2020-11-30,53.01,DOW
