Date,Adj Close,Symbol
2020-09-01,28645.66,^DJI
2020-09-02,29100.5,^DJI
2020-09-03,28292.73,^DJI
2020-09-04,28133.31,^DJI
2020-09-08,27500.89,^DJI
2020-09-09,27940.47,^DJI
2020-09-10,27534.58,^DJI
2020-09-11,27665.64,^DJI
2020-09-14,27993.33,^DJI
2020-09-15,27995.6,^DJI
2020-09-16,28032.38,^DJI
2020-09-17,27901.98,^DJI
2020-09-18,27657.42,^DJI
2020-09-21,27147.7,^DJI
2020-09-22,27288.18,^DJI
2020-09-23,26763.13,^DJI
2020-09-24,26815.44,^DJI
2020-09-25,27173.96,^DJI
2020-09-28,27584.06,^DJI
2020-09-29,27452.66,^DJI
2020-09-30,27781.7,^DJI
2020-10-01,27816.9,^DJI
2020-10-02,27682.81,^DJI
2020-10-05,28148.64,^DJI
2020-10-06,27772.76,^DJI
2020-10-07,28303.46,^DJI
2020-10-08,28425.51,^DJI
2020-10-09,28586.9,^DJI
2020-10-12,28837.52,^DJI
2020-10-13,28679.81,^DJI
2020-10-14,28514.0,^DJI
2020-10-15,28494.2,^DJI
2020-10-16,28606.31,^DJI
2020-10-19,28195.42,^DJI
2020-10-20,28308.79,^DJI
2020-10-21,28210.82,^DJI
2020-10-22,28363.66,^DJI
2020-10-23,28335.57,^DJI
2020-10-26,27685.38,^DJI
2020-10-27,27463.19,^DJI
2020-10-28,26519.95,^DJI
2020-10-29,26659.11,^DJI
2020-10-30,26501.6,^DJI
2020-11-02,26925.05,^DJI
2020-11-03,27480.03,^DJI
2020-11-04,27847.66,^DJI
2020-11-05,28390.18,^DJI
2020-11-06,28323.4,^DJI
2020-11-09,29157.97,^DJI
2020-11-10,29420.92,^DJI
2020-11-11,29397.63,^DJI
2020-11-12,29080.17,^DJI
2020-11-13,29479.81,^DJI
2020-11-16,29950.44,^DJI
2020-11-17,29783.35,^DJI
2020-11-18,29438.42,^DJI
2020-11-19,29483.23,^DJI
2020-11-20,29263.48,^DJI
2020-11-23,29591.27,^DJI
2020-11-24,30046.24,^DJI
2020-11-25,29872.47,^DJI
2020-11-27,29910.37,^DJI
2020-11-30,29638.64,^DJI
