Date,Adj Close,Symbol
2020-09-01,121.64,IBM
2020-09-02,126.35,IBM
2020-09-03,122.67,IBM
2020-09-04,120.55,IBM
2020-09-08,119.48,IBM
2020-09-09,120.51,IBM
2020-09-10,118.84,IBM
2020-09-11,119.72,IBM
2020-09-14,120.34,IBM
2020-09-15,120.69,IBM
2020-09-16,122.44,IBM
2020-09-17,123.13,IBM
2020-09-18,121.01,IBM
2020-09-21,118.53,IBM
2020-09-22,118.79,IBM
2020-09-23,117.13,IBM
2020-09-24,116.4,IBM
2020-09-25,117.25,IBM
2020-09-28,119.99,IBM
2020-09-29,119.21,IBM
2020-09-30,119.93,IBM
2020-10-01,119.36,IBM
2020-10-02,118.85,IBM
2020-10-05,120.27,IBM
2020-10-06,120.23,IBM
2020-10-07,122.3,IBM
2020-10-08,129.61,IBM
2020-10-09,125.96,IBM
2020-10-12,125.39,IBM
2020-10-13,123.31,IBM
2020-10-14,124.14,IBM
2020-10-15,123.1,IBM
2020-10-16,124.13,IBM
2020-10-19,123.73,IBM
2020-10-20,115.69,IBM
2020-10-21,113.42,IBM
2020-10-22,114.11,IBM
2020-10-23,114.34,IBM
2020-10-26,110.62,IBM
2020-10-27,108.98,IBM
2020-10-28,105.13,IBM
2020-10-29,107.35,IBM
2020-10-30,110.06,IBM
2020-11-02,111.3,IBM
2020-11-03,112.53,IBM
2020-11-04,110.3,IBM
2020-11-05,113.13,IBM
2020-11-06,112.41,IBM
2020-11-09,115.53,IBM
2020-11-10,117.91,IBM
2020-11-11,117.2,IBM
2020-11-12,114.5,IBM
2020-11-13,116.85,IBM
2020-11-16,118.36,IBM
2020-11-17,117.7,IBM
2020-11-18,116.77,IBM
2020-11-19,117.18,IBM
2020-11-20,116.94,IBM
2020-11-23,120.09,IBM
2020-11-24,124.42,IBM
2020-11-25,124.2,IBM
2020-11-27,124.35,IBM
2020-11-30,123.52,IBM
