Date,Adj Close,Symbol
2020-09-01,281.25,CRM
2020-09-02,276.69,CRM
2020-09-03,265.01,CRM
2020-09-04,254.7,CRM
2020-09-08,241.27,CRM
2020-09-09,250.43,CRM
2020-09-10,247.8,CRM
2020-09-11,243.1,CRM
2020-09-14,246.64,CRM
2020-09-15,251.68,CRM
2020-09-16,250.6,CRM
2020-09-17,244.53,CRM
2020-09-18,242.78,CRM
2020-09-21,245.05,CRM
2020-09-22,247.78,CRM
2020-09-23,235.99,CRM
2020-09-24,237.55,CRM
2020-09-25,242.74,CRM
2020-09-28,246.67,CRM
2020-09-29,247.45,CRM
2020-09-30,251.32,CRM
2020-10-01,253.45,CRM
2020-10-02,247.85,CRM
2020-10-05,251.53,CRM
2020-10-06,250.14,CRM
2020-10-07,259.98,CRM
2020-10-08,260.22,CRM
2020-10-09,265.98,CRM
2020-10-12,267.07,CRM
2020-10-13,266.83,CRM
2020-10-14,261.83,CRM
2020-10-15,257.72,CRM
2020-10-16,258.55,CRM
2020-10-19,255.01,CRM
2020-10-20,255.97,CRM
2020-10-21,254.23,CRM
2020-10-22,249.67,CRM
2020-10-23,250.52,CRM
2020-10-26,241.98,CRM
2020-10-27,250.3,CRM
2020-10-28,238.43,CRM
2020-10-29,237.14,CRM
2020-10-30,232.27,CRM
2020-11-02,232.45,CRM
2020-11-03,237.13,CRM
2020-11-04,250.74,CRM
2020-11-05,260.22,CRM
2020-11-06,260.15,CRM
2020-11-09,259.28,CRM
2020-11-10,247.66,CRM
2020-11-11,254.18,CRM
2020-11-12,249.42,CRM
2020-11-13,249.51,CRM
2020-11-16,249.89,CRM
2020-11-17,256.17,CRM
2020-11-18,257.16,CRM
2020-11-19,264.65,CRM
2020-11-20,258.04,CRM
2020-11-23,257.64,CRM
2020-11-24,260.84,CRM
2020-11-25,246.82,CRM
2020-11-27,247.63,CRM
2020-11-30,245.8,CRM
