Date,Adj Close,Symbol
2020-09-01,114.84,NKE
2020-09-02,116.8,NKE
2020-09-03,112.85,NKE
2020-09-04,112.4,NKE
2020-09-08,112.72,NKE
2020-09-09,114.9,NKE
2020-09-10,114.79,NKE
2020-09-11,118.0,NKE
2020-09-14,119.28,NKE
2020-09-15,119.27,NKE
2020-09-16,118.59,NKE
2020-09-17,116.36,NKE
2020-09-18,114.66,NKE
2020-09-21,113.37,NKE
2020-09-22,116.87,NKE
2020-09-23,127.11,NKE
2020-09-24,124.75,NKE
2020-09-25,124.23,NKE
2020-09-28,124.32,NKE
2020-09-29,126.35,NKE
2020-09-30,125.54,NKE
2020-10-01,126.64,NKE
2020-10-02,126.64,NKE
2020-10-05,127.91,NKE
2020-10-06,127.65,NKE
2020-10-07,130.06,NKE
2020-10-08,129.71,NKE
2020-10-09,130.98,NKE
2020-10-12,129.46,NKE
2020-10-13,129.2,NKE
2020-10-14,127.66,NKE
2020-10-15,129.0,NKE
2020-10-16,128.0,NKE
2020-10-19,127.43,NKE
2020-10-20,128.49,NKE
2020-10-21,129.43,NKE
2020-10-22,130.02,NKE
2020-10-23,129.99,NKE
2020-10-26,128.37,NKE
2020-10-27,127.99,NKE
2020-10-28,122.08,NKE
2020-10-29,122.86,NKE
2020-10-30,120.08,NKE
2020-11-02,122.39,NKE
2020-11-03,124.59,NKE
2020-11-04,127.34,NKE
2020-11-05,129.7,NKE
2020-11-06,128.9,NKE
2020-11-09,128.95,NKE
2020-11-10,127.71,NKE
2020-11-11,127.66,NKE
2020-11-12,126.64,NKE
2020-11-13,128.28,NKE
2020-11-16,130.11,NKE
2020-11-17,132.21,NKE
2020-11-18,131.63,NKE
2020-11-19,131.91,NKE
2020-11-20,132.98,NKE
2020-11-23,134.13,NKE
2020-11-24,134.7,NKE
2020-11-25,135.54,NKE
2020-11-27,134.25,NKE
2020-11-30,134.7,NKE
