Date,Adj Close,Symbol
2020-09-01,249.17,AMGN
2020-09-02,256.38,AMGN
2020-09-03,246.24,AMGN
2020-09-04,246.72,AMGN
2020-09-08,239.55,AMGN
2020-09-09,243.91,AMGN
2020-09-10,239.02,AMGN
2020-09-11,241.57,AMGN
2020-09-14,245.09,AMGN
2020-09-15,246.67,AMGN
2020-09-16,246.09,AMGN
2020-09-17,246.41,AMGN
2020-09-18,246.05,AMGN
2020-09-21,241.55,AMGN
2020-09-22,245.83,AMGN
2020-09-23,240.95,AMGN
2020-09-24,238.7,AMGN
2020-09-25,242.17,AMGN
2020-09-28,245.36,AMGN
2020-09-29,246.62,AMGN
2020-09-30,252.45,AMGN
2020-10-01,253.67,AMGN
2020-10-02,243.75,AMGN
2020-10-05,254.28,AMGN
2020-10-06,250.99,AMGN
2020-10-07,255.93,AMGN
2020-10-08,238.47,AMGN
2020-10-09,235.1,AMGN
2020-10-12,237.89,AMGN
2020-10-13,237.73,AMGN
2020-10-14,236.05,AMGN
2020-10-15,233.42,AMGN
2020-10-16,234.13,AMGN
2020-10-19,229.15,AMGN
2020-10-20,229.54,AMGN
2020-10-21,227.43,AMGN
2020-10-22,226.44,AMGN
2020-10-23,225.63,AMGN
2020-10-26,223.37,AMGN
2020-10-27,221.95,AMGN
2020-10-28,214.92,AMGN
2020-10-29,216.35,AMGN
2020-10-30,215.48,AMGN
2020-11-02,218.72,AMGN
2020-11-03,218.58,AMGN
2020-11-04,228.78,AMGN
2020-11-05,230.4,AMGN
2020-11-06,230.11,AMGN
2020-11-09,233.41,AMGN
2020-11-10,239.97,AMGN
2020-11-11,239.07,AMGN
2020-11-12,235.54,AMGN
2020-11-13,237.36,AMGN
2020-11-16,236.66,AMGN
2020-11-17,232.44,AMGN
2020-11-18,227.76,AMGN
2020-11-19,224.67,AMGN
2020-11-20,223.17,AMGN
2020-11-23,222.22,AMGN
2020-11-24,220.46,AMGN
2020-11-25,220.31,AMGN
2020-11-27,224.81,AMGN
2020-11-30,222.04,AMGN
