Date,Adj Close,Symbol
2020-09-01,145.16,CAT
2020-09-02,148.36,CAT
2020-09-03,145.87,CAT
2020-09-04,147.28,CAT
2020-09-08,147.62,CAT
2020-09-09,151.76,CAT
2020-09-10,148.95,CAT
2020-09-11,152.9,CAT
2020-09-14,152.58,CAT
2020-09-15,147.7,CAT
2020-09-16,150.19,CAT
2020-09-17,152.94,CAT
2020-09-18,151.46,CAT
2020-09-21,144.45,CAT
2020-09-22,146.26,CAT
2020-09-23,143.5,CAT
2020-09-24,144.26,CAT
2020-09-25,145.02,CAT
2020-09-28,146.78,CAT
2020-09-29,146.52,CAT
2020-09-30,148.24,CAT
2020-10-01,145.82,CAT
2020-10-02,149.03,CAT
2020-10-05,152.56,CAT
2020-10-06,150.61,CAT
2020-10-07,153.83,CAT
2020-10-08,155.71,CAT
2020-10-09,157.98,CAT
2020-10-12,161.62,CAT
2020-10-13,161.14,CAT
2020-10-14,162.62,CAT
2020-10-15,164.04,CAT
2020-10-16,167.73,CAT
2020-10-19,166.51,CAT
2020-10-20,167.96,CAT
2020-10-21,166.38,CAT
2020-10-22,168.63,CAT
2020-10-23,168.59,CAT
2020-10-26,163.2,CAT
2020-10-27,157.91,CAT
2020-10-28,151.16,CAT
2020-10-29,154.67,CAT
2020-10-30,157.05,CAT
2020-11-02,163.27,CAT
2020-11-03,167.69,CAT
2020-11-04,155.23,CAT
2020-11-05,163.09,CAT
2020-11-06,161.29,CAT
2020-11-09,170.82,CAT
2020-11-10,172.3,CAT
2020-11-11,169.46,CAT
2020-11-12,169.13,CAT
2020-11-13,171.71,CAT
2020-11-16,173.19,CAT
2020-11-17,171.91,CAT
2020-11-18,172.74,CAT
2020-11-19,172.9,CAT
2020-11-20,172.23,CAT
2020-11-23,174.78,CAT
2020-11-24,176.9,CAT
2020-11-25,174.63,CAT
2020-11-27,175.08,CAT
2020-11-30,173.59,CAT
