Date,Adj Close,Symbol
2020-09-01,58.54,VZ
2020-09-02,59.89,VZ
2020-09-03,59.97,VZ
2020-09-04,59.84,VZ
2020-09-08,59.33,VZ
2020-09-09,59.41,VZ
2020-09-10,58.9,VZ
2020-09-11,59.16,VZ
2020-09-14,59.68,VZ
2020-09-15,59.96,VZ
2020-09-16,59.73,VZ
2020-09-17,59.95,VZ
2020-09-18,59.71,VZ
2020-09-21,58.98,VZ
2020-09-22,59.19,VZ
2020-09-23,58.29,VZ
2020-09-24,58.57,VZ
2020-09-25,58.76,VZ
2020-09-28,58.73,VZ
2020-09-29,58.62,VZ
2020-09-30,58.86,VZ
2020-10-01,58.82,VZ
2020-10-02,58.62,VZ
2020-10-05,59.03,VZ
2020-10-06,58.83,VZ
2020-10-07,58.98,VZ
2020-10-08,59.19,VZ
2020-10-09,59.33,VZ
2020-10-12,59.55,VZ
2020-10-13,59.36,VZ
2020-10-14,58.43,VZ
2020-10-15,58.16,VZ
2020-10-16,58.05,VZ
2020-10-19,57.3,VZ
2020-10-20,57.25,VZ
2020-10-21,56.75,VZ
2020-10-22,57.33,VZ
2020-10-23,57.96,VZ
2020-10-26,57.81,VZ
2020-10-27,57.38,VZ
2020-10-28,56.31,VZ
2020-10-29,56.76,VZ
2020-10-30,56.99,VZ
2020-11-02,57.7,VZ
2020-11-03,57.75,VZ
2020-11-04,57.22,VZ
2020-11-05,58.15,VZ
2020-11-06,58.53,VZ
2020-11-09,59.84,VZ
2020-11-10,61.1,VZ
2020-11-11,61.0,VZ
2020-11-12,60.79,VZ
2020-11-13,61.06,VZ
2020-11-16,60.89,VZ
2020-11-17,60.75,VZ
2020-11-18,60.32,VZ
2020-11-19,60.21,VZ
2020-11-20,60.04,VZ
2020-11-23,60.23,VZ
2020-11-24,60.64,VZ
2020-11-25,60.41,VZ
2020-11-27,60.58,VZ
2020-11-30,60.41,VZ
