Date,Adj Close,Symbol
2020-09-01,137.42,PG
2020-09-02,139.73,PG
2020-09-03,137.5,PG
2020-09-04,137.2,PG
2020-09-08,135.19,PG
2020-09-09,137.39,PG
2020-09-10,135.95,PG
2020-09-11,137.38,PG
2020-09-14,137.86,PG
2020-09-15,137.86,PG
2020-09-16,136.94,PG
2020-09-17,136.76,PG
2020-09-18,136.61,PG
2020-09-21,135.96,PG
2020-09-22,137.2,PG
2020-09-23,135.56,PG
2020-09-24,136.16,PG
2020-09-25,136.86,PG
2020-09-28,137.25,PG
2020-09-29,136.5,PG
2020-09-30,138.22,PG
2020-10-01,138.47,PG
2020-10-02,137.36,PG
2020-10-05,138.62,PG
2020-10-06,138.84,PG
2020-10-07,139.92,PG
2020-10-08,140.87,PG
2020-10-09,142.13,PG
2020-10-12,143.69,PG
2020-10-13,143.41,PG
2020-10-14,143.24,PG
2020-10-15,143.04,PG
2020-10-16,143.59,PG
2020-10-19,141.13,PG
2020-10-20,141.69,PG
2020-10-21,142.46,PG
2020-10-22,141.45,PG
2020-10-23,142.38,PG
2020-10-26,141.3,PG
2020-10-27,142.36,PG
2020-10-28,137.66,PG
2020-10-29,137.57,PG
2020-10-30,137.1,PG
2020-11-02,138.5,PG
2020-11-03,141.22,PG
2020-11-04,140.64,PG
2020-11-05,142.38,PG
2020-11-06,143.23,PG
2020-11-09,137.99,PG
2020-11-10,140.26,PG
2020-11-11,142.07,PG
2020-11-12,142.15,PG
2020-11-13,144.28,PG
2020-11-16,142.43,PG
2020-11-17,141.88,PG
2020-11-18,139.7,PG
2020-11-19,139.53,PG
2020-11-20,139.3,PG
2020-11-23,138.76,PG
2020-11-24,138.31,PG
2020-11-25,138.68,PG
2020-11-27,138.61,PG
2020-11-30,138.87,PG
