Date,Adj Close,Symbol
2020-09-01,50.42,INTC
2020-09-02,51.87,INTC
2020-09-03,50.03,INTC
2020-09-04,49.72,INTC
2020-09-08,48.56,INTC
2020-09-09,49.26,INTC
2020-09-10,48.61,INTC
2020-09-11,48.92,INTC
2020-09-14,49.05,INTC
2020-09-15,49.64,INTC
2020-09-16,50.01,INTC
2020-09-17,49.96,INTC
2020-09-18,49.53,INTC
2020-09-21,49.36,INTC
2020-09-22,49.59,INTC
2020-09-23,48.47,INTC
2020-09-24,48.81,INTC
2020-09-25,49.58,INTC
2020-09-28,51.06,INTC
2020-09-29,50.82,INTC
2020-09-30,51.41,INTC
2020-10-01,51.86,INTC
2020-10-02,50.64,INTC
2020-10-05,51.32,INTC
2020-10-06,51.0,INTC
2020-10-07,52.29,INTC
2020-10-08,52.98,INTC
2020-10-09,52.44,INTC
2020-10-12,53.49,INTC
2020-10-13,53.44,INTC
2020-10-14,53.16,INTC
2020-10-15,53.46,INTC
2020-10-16,53.77,INTC
2020-10-19,54.19,INTC
2020-10-20,53.04,INTC
2020-10-21,53.11,INTC
2020-10-22,53.51,INTC
2020-10-23,47.85,INTC
2020-10-26,46.38,INTC
2020-10-27,45.31,INTC
2020-10-28,43.93,INTC
2020-10-29,43.79,INTC
2020-10-30,43.96,INTC
2020-11-02,44.14,INTC
2020-11-03,44.53,INTC
2020-11-04,45.37,INTC
2020-11-05,45.68,INTC
2020-11-06,45.39,INTC
2020-11-09,45.6,INTC
2020-11-10,45.44,INTC
2020-11-11,46.35,INTC
2020-11-12,44.95,INTC
2020-11-13,45.46,INTC
2020-11-16,46.19,INTC
2020-11-17,45.53,INTC
2020-11-18,45.06,INTC
2020-11-19,45.62,INTC
2020-11-20,45.39,INTC
2020-11-23,46.06,INTC
2020-11-24,47.01,INTC
2020-11-25,47.05,INTC
2020-11-27,47.45,INTC
2020-11-30,48.35,INTC
