Date,Adj Close,Symbol
2020-09-01,205.46,GS
2020-09-02,210.04,GS
2020-09-03,207.56,GS
2020-09-04,210.94,GS
2020-09-08,202.48,GS
2020-09-09,202.22,GS
2020-09-10,200.01,GS
2020-09-11,200.92,GS
2020-09-14,201.34,GS
2020-09-15,198.0,GS
2020-09-16,200.68,GS
2020-09-17,194.83,GS
2020-09-18,194.86,GS
2020-09-21,194.0,GS
2020-09-22,191.62,GS
2020-09-23,186.12,GS
2020-09-24,195.11,GS
2020-09-25,194.95,GS
2020-09-28,199.07,GS
2020-09-29,196.79,GS
2020-09-30,200.97,GS
2020-10-01,198.55,GS
2020-10-02,199.9,GS
2020-10-05,201.8,GS
2020-10-06,201.09,GS
2020-10-07,203.6,GS
2020-10-08,207.98,GS
2020-10-09,207.54,GS
2020-10-12,214.12,GS
2020-10-13,210.81,GS
2020-10-14,211.23,GS
2020-10-15,208.6,GS
2020-10-16,206.21,GS
2020-10-19,205.69,GS
2020-10-20,208.03,GS
2020-10-21,202.91,GS
2020-10-22,205.4,GS
2020-10-23,205.04,GS
2020-10-26,201.14,GS
2020-10-27,195.68,GS
2020-10-28,189.77,GS
2020-10-29,189.94,GS
2020-10-30,189.04,GS
2020-11-02,190.2,GS
2020-11-03,197.93,GS
2020-11-04,197.87,GS
2020-11-05,202.96,GS
2020-11-06,201.26,GS
2020-11-09,214.93,GS
2020-11-10,217.47,GS
2020-11-11,218.05,GS
2020-11-12,214.51,GS
2020-11-13,219.08,GS
2020-11-16,222.38,GS
2020-11-17,224.65,GS
2020-11-18,224.3,GS
2020-11-19,224.57,GS
2020-11-20,223.35,GS
2020-11-23,228.83,GS
2020-11-24,237.5,GS
2020-11-25,236.54,GS
2020-11-27,235.4,GS
2020-11-30,230.58,GS
