Date,Adj Close,Symbol
2020-09-01,48.35,KO
2020-09-02,50.38,KO
2020-09-03,49.69,KO
2020-09-04,50.24,KO
2020-09-08,49.03,KO
2020-09-09,49.4,KO
2020-09-10,49.21,KO
2020-09-11,50.26,KO
2020-09-14,50.32,KO
2020-09-15,50.65,KO
2020-09-16,50.39,KO
2020-09-17,50.16,KO
2020-09-18,50.06,KO
2020-09-21,48.71,KO
2020-09-22,49.27,KO
2020-09-23,47.83,KO
2020-09-24,48.32,KO
2020-09-25,48.34,KO
2020-09-28,48.9,KO
2020-09-29,48.54,KO
2020-09-30,48.99,KO
2020-10-01,48.8,KO
2020-10-02,48.98,KO
2020-10-05,49.0,KO
2020-10-06,48.56,KO
2020-10-07,49.17,KO
2020-10-08,50.07,KO
2020-10-09,50.41,KO
2020-10-12,50.69,KO
2020-10-13,49.83,KO
2020-10-14,49.73,KO
2020-10-15,49.6,KO
2020-10-16,49.64,KO
2020-10-19,49.23,KO
2020-10-20,49.86,KO
2020-10-21,49.6,KO
2020-10-22,50.29,KO
2020-10-23,50.13,KO
2020-10-26,49.41,KO
2020-10-27,49.51,KO
2020-10-28,47.59,KO
2020-10-29,47.65,KO
2020-10-30,47.69,KO
2020-11-02,48.24,KO
2020-11-03,48.97,KO
2020-11-04,48.79,KO
2020-11-05,49.06,KO
2020-11-06,49.07,KO
2020-11-09,52.16,KO
2020-11-10,53.56,KO
2020-11-11,53.16,KO
2020-11-12,52.6,KO
2020-11-13,53.03,KO
2020-11-16,53.43,KO
2020-11-17,53.26,KO
2020-11-18,52.2,KO
2020-11-19,52.72,KO
2020-11-20,52.26,KO
2020-11-23,52.27,KO
2020-11-24,52.81,KO
2020-11-25,52.52,KO
2020-11-27,52.29,KO
2020-11-30,51.6,KO
